x,z,relay,string,error,index
160,-30,FALSE,f,TRUE,0
160,-20,FALSE,l,TRUE,0
156.942,-20,TRUE,g,TRUE,0
153.826,-31.116,FALSE,g,TRUE,0
163.251,-31.116,FALSE,b,TRUE,0
163.251,-20,FALSE,l,TRUE,0
236.635,-20,TRUE,g,TRUE,0
234.58,-31.116,FALSE,g,TRUE,0
140.314,-31.116,FALSE,b,TRUE,0
140.314,-20,FALSE,l,TRUE,0
169.657,-20,TRUE,g,TRUE,0
166.78,-31.116,FALSE,g,TRUE,0
176.895,-31.116,FALSE,b,TRUE,0
176.895,-20,FALSE,l,TRUE,0
237.169,-20,TRUE,g,TRUE,0
235.119,-31.116,FALSE,g,TRUE,0
139.871,-31.116,FALSE,b,TRUE,0
139.871,-20,FALSE,l,FALSE,0
165.355,-20,TRUE,g,TRUE,0
162.401,-31.116,FALSE,g,TRUE,0
172.607,-31.116,FALSE,b,TRUE,0
172.607,-20,FALSE,l,TRUE,0
240.412,-20,TRUE,g,TRUE,0
238.39,-31.116,FALSE,g,TRUE,0
120.955,-31.116,FALSE,b,FALSE,0
120.955,-20,FALSE,l,FALSE,0
160.136,-20,TRUE,g,TRUE,0
157.084,-31.116,FALSE,g,TRUE,0
125.134,-31.116,FALSE,b,FALSE,0
125.134,-20,FALSE,l,FALSE,0
160,-30,FALSE,f,TRUE,1
168.045,-30,FALSE,b,TRUE,1
168.045,-20,FALSE,l,TRUE,1
192.093,-20,TRUE,g,TRUE,1
189.556,-31.116,FALSE,g,TRUE,1
139.094,-31.116,FALSE,b,TRUE,1
139.094,-20,FALSE,l,FALSE,1
161.346,-20,TRUE,g,TRUE,1
158.317,-31.116,FALSE,g,TRUE,1
171.424,-31.116,FALSE,b,TRUE,1
171.424,-20,FALSE,l,TRUE,1
180.389,-20,TRUE,g,TRUE,1
177.685,-31.116,FALSE,g,TRUE,1
137.89,-31.116,FALSE,b,TRUE,1
137.89,-20,FALSE,l,FALSE,1
176.432,-20,TRUE,g,TRUE,1
173.666,-31.116,FALSE,g,TRUE,1
130.818,-31.116,FALSE,b,FALSE,1
130.818,-20,FALSE,l,FALSE,1
204.399,-20,TRUE,g,TRUE,1
202.017,-31.116,FALSE,g,TRUE,1
190.255,-31.116,FALSE,b,TRUE,1
194.968,-31.116,FALSE,b,TRUE,1
178.693,-31.116,FALSE,b,TRUE,1
178.693,-20,FALSE,l,TRUE,1
178.617,-20,TRUE,g,TRUE,1
175.886,-31.116,FALSE,g,TRUE,1
140.351,-31.116,FALSE,b,TRUE,1
160,-30,FALSE,f,TRUE,2
160,-20,FALSE,l,TRUE,2
162.971,-20,TRUE,g,TRUE,2
159.973,-31.116,FALSE,g,TRUE,2
